2025-05-27T11:34:03.095749 - New user added
2025-05-27T11:34:19.303879 - User accepted by admin
2025-05-27T11:34:23.228912 - Web activity reported
2025-05-27T11:34:23.349958 - Activity updated
User Logs:
  PID: 1660, Name: UVM GPU1 BH, CPU: 0.0%, Memory: 0.0%
  PID: 1661, Name: UVM GPU1 KC, CPU: 0.0%, Memory: 0.0%
  PID: 1726, Name: gdm-session-worker, CPU: 0.0%, Memory: 0.0640112010894592%
  PID: 1751, Name: systemd, CPU: 0.0%, Memory: 0.08391363438583206%
  PID: 1753, Name: (sd-pam), CPU: 0.0%, Memory: 0.023559505414581367%
  PID: 1771, Name: mpris-proxy, CPU: 0.0%, Memory: 0.021693652293046414%
  PID: 1772, Name: pipewire, CPU: 0.0%, Memory: 0.09834289852570237%
  PID: 1773, Name: pipewire, CPU: 0.0%, Memory: 0.031993161523919365%
  PID: 1775, Name: wireplumber, CPU: 0.0%, Memory: 0.11155313862616985%
  PID: 1776, Name: pipewire-pulse, CPU: 0.0%, Memory: 0.11762338078156358%
  PID: 1777, Name: gnome-keyring-daemon, CPU: 0.0%, Memory: 0.06259315271709263%
  PID: 1778, Name: dbus-daemon, CPU: 0.0%, Memory: 0.03676974551504885%
  PID: 1811, Name: gdm-x-session, CPU: 0.0%, Memory: 0.0390834033857522%
  PID: 1813, Name: Xorg, CPU: 0.0%, Memory: 1.2412650086115342%
  PID: 1826, Name: gnome-session-binary, CPU: 0.0%, Memory: 0.09197411987086306%
  PID: 1901, Name: xdg-permission-store, CPU: 0.0%, Memory: 0.038934135136029405%
  PID: 1913, Name: at-spi-bus-launcher, CPU: 0.0%, Memory: 0.047119010829162734%
  PID: 1920, Name: dbus-daemon, CPU: 0.0%, Memory: 0.029032674571083904%
  PID: 1930, Name: gcr-ssh-agent, CPU: 0.0%, Memory: 0.04321315829474957%
  PID: 1931, Name: gnome-session-ctl, CPU: 0.0%, Memory: 0.03159511285799191%
  PID: 1947, Name: gvfsd, CPU: 0.0%, Memory: 0.04866144940963164%
  PID: 1955, Name: gvfsd-fuse, CPU: 0.0%, Memory: 0.04134730517321461%
  PID: 1957, Name: gnome-session-binary, CPU: 0.0%, Memory: 0.09799460594301584%
  PID: 1991, Name: gnome-shell, CPU: 0.0%, Memory: 2.537012928371889%
  PID: 2018, Name: dconf-service, CPU: 0.0%, Memory: 0.035675111683748345%
  PID: 2044, Name: mutter-x11-frames, CPU: 0.0%, Memory: 0.8858324279799353%
  PID: 2047, Name: at-spi2-registryd, CPU: 0.0%, Memory: 0.04512876749952545%
  PID: 2059, Name: xdg-desktop-portal, CPU: 0.0%, Memory: 0.1241414276861257%
  PID: 2064, Name: xdg-document-portal, CPU: 0.0%, Memory: 0.041123402798630415%
  PID: 2070, Name: fusermount3, CPU: 0.0%, Memory: 0.01139414306217346%
  PID: 2090, Name: gnome-shell-calendar-server, CPU: 0.0%, Memory: 0.11555850332706491%
